TrialTag,ABTag,CDTag,ABMainRel,CDMainRel,ABSubRel,CDSubRel,ProbeCorr,ProbeArr,AB,CD,Probe,Match
table:desk::wagon:trailer,table:desk,wagon:trailer,1,1,2,2,a,1,0,0,1,TRUE
wagon:trailer::picture:drawing,wagon:trailer,picture:drawing,1,1,2,2,l,2,0,0,1,TRUE
wagon:trailer::stairs:ladder,wagon:trailer,stairs:ladder,1,1,2,2,a,1,0,0,1,TRUE
acceleration:speed::inflation:price,acceleration:speed,inflation:price,1,1,3,3,a,1,0,0,1,TRUE
darken:color::soften:voice,darken:color,soften:voice,1,1,3,3,l,2,0,0,1,TRUE
darken:color::terror:fear,darken:color,terror:fear,1,1,3,3,a,1,0,0,1,TRUE
death:population::flood:water,death:population,flood:water,1,1,3,3,l,2,0,0,1,TRUE
discount:price::heat:temperature,discount:price,heat:temperature,1,1,3,3,a,1,0,0,1,TRUE
flood:water::death:population,flood:water,death:population,1,1,3,3,l,2,0,0,1,TRUE
force:pressure::acceleration:speed,force:pressure,acceleration:speed,1,1,3,3,a,1,0,0,1,TRUE
force:pressure::speed:movement,force:pressure,speed:movement,1,1,3,3,l,2,0,0,1,TRUE
lower:volume::discount:price,lower:volume,discount:price,1,1,3,3,l,2,0,0,1,TRUE
raise:salary::lower:volume,raise:salary,lower:volume,1,1,3,3,l,2,0,0,1,TRUE
raise:salary::shorten:distance,raise:salary,shorten:distance,1,1,3,3,l,2,0,0,1,TRUE
shorten:distance::force:pressure,shorten:distance,force:pressure,1,1,3,3,a,1,0,0,1,TRUE
soften:voice::darken:color,soften:voice,darken:color,1,1,3,3,l,2,0,0,1,TRUE
speed:movement::raise:salary,speed:movement,raise:salary,1,1,3,3,a,1,0,0,1,TRUE
terror:fear::dim:light,terror:fear,dim:light,1,1,3,3,a,1,0,0,1,TRUE
terror:fear::rise:tide,terror:fear,rise:tide,1,1,3,3,a,1,0,0,1,TRUE
big:small::difficult:easy,big:small,difficult:easy,2,2,4,4,a,1,0,0,1,TRUE
big:small::dirty:clean,big:small,dirty:clean,2,2,4,4,a,1,0,0,1,TRUE
black:white::pretty:ugly,black:white,pretty:ugly,2,2,4,4,l,2,0,0,1,TRUE
bright:dark::fat:thin,bright:dark,fat:thin,2,2,4,4,a,1,0,0,1,TRUE
dark:light::big:small,dark:light,big:small,2,2,4,4,l,2,0,0,1,TRUE
difficult:easy::warm:cool,difficult:easy,warm:cool,2,2,4,4,a,1,0,0,1,TRUE
fast:slow::bright:dark,fast:slow,bright:dark,2,2,4,4,l,2,0,0,1,TRUE
good:bad::tall:short,good:bad,tall:short,2,2,4,4,a,1,0,0,1,TRUE
hot:cold::accept:reject,hot:cold,accept:reject,2,2,4,4,a,1,0,0,1,TRUE
hot:cold::old:young,hot:cold,old:young,2,2,4,4,a,1,0,0,1,TRUE
old:young::dark:light,old:young,dark:light,2,2,4,4,a,1,0,0,1,TRUE
old:young::rich:poor,old:young,rich:poor,2,2,4,4,l,2,0,0,1,TRUE
pretty:ugly::good:bad,pretty:ugly,good:bad,2,2,4,4,l,2,0,0,1,TRUE
rich:poor::fast:slow,rich:poor,fast:slow,2,2,4,4,a,1,0,0,1,TRUE
tall:short::black:white,tall:short,black:white,2,2,4,4,a,1,0,0,1,TRUE
warm:cool::hot:cold,warm:cool,hot:cold,2,2,4,4,l,2,0,0,1,TRUE
east:west::front:back,east:west,front:back,2,2,5,5,a,1,0,0,1,TRUE
forward:backward::climb:descend,forward:backward,climb:descend,2,2,5,5,l,2,0,0,1,TRUE
forward:backward::north:south,forward:backward,north:south,2,2,5,5,a,1,0,0,1,TRUE
front:back::interior:exterior,front:back,interior:exterior,2,2,5,5,l,2,0,0,1,TRUE
high:low::rise:sink,high:low,rise:sink,2,2,5,5,a,1,0,0,1,TRUE
high:low::up:down,high:low,up:down,2,2,5,5,l,2,0,0,1,TRUE
in:out::left:right,in:out,left:right,2,2,5,5,l,2,0,0,1,TRUE
interior:exterior::below:above,interior:exterior,below:above,2,2,5,5,l,2,0,0,1,TRUE
interior:exterior::start:finish,interior:exterior,start:finish,2,2,5,5,a,1,0,0,1,TRUE
left:right::in:out,left:right,in:out,2,2,5,5,a,1,0,0,1,TRUE
north:south::ahead:behind,north:south,ahead:behind,2,2,5,5,a,1,0,0,1,TRUE
north:south::east:west,north:south,east:west,2,2,5,5,a,1,0,0,1,TRUE
rise:sink::under:over,rise:sink,under:over,2,2,5,5,a,1,0,0,1,TRUE
start:finish::forward:backward,start:finish,forward:backward,2,2,5,5,l,2,0,0,1,TRUE
start:finish::top:bottom,start:finish,top:bottom,2,2,5,5,l,2,0,0,1,TRUE
up:down::high:low,up:down,high:low,2,2,5,5,l,2,0,0,1,TRUE
bright:dull::day:evening,bright:dull,day:evening,2,2,6,6,a,1,0,0,1,TRUE
enthusiastic:lazy::bright:dull,enthusiastic:lazy,bright:dull,2,2,6,6,l,2,0,0,1,TRUE
enthusiastic:lazy::witty:dumb,enthusiastic:lazy,witty:dumb,2,2,6,6,a,1,0,0,1,TRUE
fun:boring::powerful:meek,fun:boring,powerful:meek,2,2,6,6,a,1,0,0,1,TRUE
fun:boring::smiling:sad,fun:boring,smiling:sad,2,2,6,6,l,2,0,0,1,TRUE
good:wrong::loud:discreet,good:wrong,loud:discreet,2,2,6,6,a,1,0,0,1,TRUE
loud:discreet::majority:small,loud:discreet,majority:small,2,2,6,6,l,2,0,0,1,TRUE
low:up::funny:serious,low:up,funny:serious,2,2,6,6,a,1,0,0,1,TRUE
low:up::good:wrong,low:up,good:wrong,2,2,6,6,l,2,0,0,1,TRUE
majority:small::just:unfair,majority:small,just:unfair,2,2,6,6,a,1,0,0,1,TRUE
obey:protest::enthusiastic:lazy,obey:protest,enthusiastic:lazy,2,2,6,6,l,2,0,0,1,TRUE
obey:protest::right:bad,obey:protest,right:bad,2,2,6,6,a,1,0,0,1,TRUE
powerful:meek::fun:boring,powerful:meek,fun:boring,2,2,6,6,l,2,0,0,1,TRUE
right:bad::obey:protest,right:bad,obey:protest,2,2,6,6,a,1,0,0,1,TRUE
smiling:sad::high:down,smiling:sad,high:down,2,2,6,6,l,2,0,0,1,TRUE
witty:dumb::low:up,witty:dumb,low:up,2,2,6,6,l,2,0,0,1,TRUE
accident:damage::germs:sickness,accident:damage,germs:sickness,3,3,7,7,l,2,0,0,1,TRUE
disease:sickness::injury:pain,disease:sickness,injury:pain,3,3,7,7,a,1,0,0,1,TRUE
exercise:fitness::repetition:boredom,exercise:fitness,repetition:boredom,3,3,7,7,a,1,0,0,1,TRUE
fire:burns::heater:warmth,fire:burns,heater:warmth,3,3,7,7,a,1,0,0,1,TRUE
germs:sickness::illness:discomfort,germs:sickness,illness:discomfort,3,3,7,7,l,2,0,0,1,TRUE
heater:warmth::bath:cleanliness,heater:warmth,bath:cleanliness,3,3,7,7,l,2,0,0,1,TRUE
illness:discomfort::explosion:damage,illness:discomfort,explosion:damage,3,3,7,7,a,1,0,0,1,TRUE
illness:discomfort::stimulus:response,illness:discomfort,stimulus:response,3,3,7,7,a,1,0,0,1,TRUE
injury:pain::loss:grief,injury:pain,loss:grief,3,3,7,7,l,2,0,0,1,TRUE
loss:grief::accident:damage,loss:grief,accident:damage,3,3,7,7,a,1,0,0,1,TRUE
loss:grief::fire:burns,loss:grief,fire:burns,3,3,7,7,l,2,0,0,1,TRUE
stimulus:response::joke:laughter,stimulus:response,joke:laughter,3,3,7,7,a,1,0,0,1,TRUE
stimulus:response::workout:sweat,stimulus:response,workout:sweat,3,3,7,7,l,2,0,0,1,TRUE
tragedy:tears::exercise:fitness,tragedy:tears,exercise:fitness,3,3,7,7,a,1,0,0,1,TRUE
workout:sweat::disease:sickness,workout:sweat,disease:sickness,3,3,7,7,a,1,0,0,1,TRUE
workout:sweat::tragedy:tears,workout:sweat,tragedy:tears,3,3,7,7,l,2,0,0,1,TRUE
dirtiness:bathe::hunger:eat,dirtiness:bathe,hunger:eat,3,3,8,8,a,1,0,0,1,TRUE
dirty:bathe::thirst:drink,dirty:bathe,thirst:drink,3,3,8,8,a,1,0,0,1,TRUE
dirty:bathe::thirsty:drink,dirty:bathe,thirsty:drink,3,3,8,8,l,2,0,0,1,TRUE
fright:scream::heat:sweat,fright:scream,heat:sweat,3,3,8,8,a,1,0,0,1,TRUE
fright:scream::loneliness:socialize,fright:scream,loneliness:socialize,3,3,8,8,a,1,0,0,1,TRUE
happiness:smile::sadness:cry,happiness:smile,sadness:cry,3,3,8,8,l,2,0,0,1,TRUE
heat:sweat::sickness:medicate,heat:sweat,sickness:medicate,3,3,8,8,l,2,0,0,1,TRUE
hunger:eat::dirtiness:bathe,hunger:eat,dirtiness:bathe,3,3,8,8,a,1,0,0,1,TRUE
hunger:eat::tiredness:rest,hunger:eat,tiredness:rest,3,3,8,8,a,1,0,0,1,TRUE
loneliness:socialize::fright:scream,loneliness:socialize,fright:scream,3,3,8,8,a,1,0,0,1,TRUE
loneliness:socialize::nervousness:sweat,loneliness:socialize,nervousness:sweat,3,3,8,8,l,2,0,0,1,TRUE
nervousness:sweat::coldness:shiver,nervousness:sweat,coldness:shiver,3,3,8,8,a,1,0,0,1,TRUE
nervousness:sweat::dirty:bathe,nervousness:sweat,dirty:bathe,3,3,8,8,l,2,0,0,1,TRUE
sickness:medicate::danger:flee,sickness:medicate,danger:flee,3,3,8,8,l,2,0,0,1,TRUE
thirst:drink::happiness:smile,thirst:drink,happiness:smile,3,3,8,8,l,2,0,0,1,TRUE
thirsty:drink::anger:yell,thirsty:drink,anger:yell,3,3,8,8,l,2,0,0,1,TRUE
advertise:promote::wash:clean,advertise:promote,wash:clean,3,3,9,9,l,2,0,0,1,TRUE
bathe:clean::work:earn,bathe:clean,work:earn,3,3,9,9,l,2,0,0,1,TRUE
burnish:shine::drink:hydrate,burnish:shine,drink:hydrate,3,3,9,9,l,2,0,0,1,TRUE
burnish:shine::trim:shorten,burnish:shine,trim:shorten,3,3,9,9,a,1,0,0,1,TRUE
cook:eat::exercise:healthy,cook:eat,exercise:healthy,3,3,9,9,a,1,0,0,1,TRUE
drink:hydrate::bathe:clean,drink:hydrate,bathe:clean,3,3,9,9,l,2,0,0,1,TRUE
exercise:healthy::breathe:live,exercise:healthy,breathe:live,3,3,9,9,a,1,0,0,1,TRUE
exercise:healthy::burnish:shine,exercise:healthy,burnish:shine,3,3,9,9,l,2,0,0,1,TRUE
flee:escape::read:learn,flee:escape,read:learn,3,3,9,9,l,2,0,0,1,TRUE
read:learn::sleep:rest,read:learn,sleep:rest,3,3,9,9,l,2,0,0,1,TRUE
sleep:rest::advertise:promote,sleep:rest,advertise:promote,3,3,9,9,a,1,0,0,1,TRUE
speak:express::flee:escape,speak:express,flee:escape,3,3,9,9,l,2,0,0,1,TRUE
speak:express::ignite:burn,speak:express,ignite:burn,3,3,9,9,a,1,0,0,1,TRUE
trim:shorten::study:learn,trim:shorten,study:learn,3,3,9,9,a,1,0,0,1,TRUE
wash:clean::cook:eat,wash:clean,cook:eat,3,3,9,9,l,2,0,0,1,TRUE
work:earn::speak:express,work:earn,speak:express,3,3,9,9,l,2,0,0,1,TRUE
