,3a,3f,3h,4b,4d,4g,8a,8b,8c
book:magazine,0.001102992,0.064663951,0.001102992,0,0,0,0,0,0
pencil:pen,0.001102992,0.057790224,0.001102992,0,0,0,0,0,0
wagon:trailer,0.001102992,0.053971487,0.001102992,0,0,0,0,0,0
paper:parchment,0.001102992,0.038696538,0.001102992,0,0,0,0,0,0
pillow:cushion,0.001102992,0.035132383,0.001102992,0,0,0,0,0,0
table:desk,0.001102992,0.033350305,0.001102992,0,0,0,0,0,0
fence:hedge,0.001102992,0.008655804,0.001102992,0,0,0,0,0,0
chair:sofa,0.001102992,0.007892057,0.001102992,0,0,0,0,0,0
house:tent,0.001102992,0.00407332,0.001102992,0,0,0,0,0,0
rake:fork,0.001102992,0.123472505,0.001102992,0,0,0,0,0,0
acceleration:speed,0.001102992,0.001102992,0.147537427,0,0,0,0,0,0
dim:light,0.001102992,0.001102992,0.104144066,0,0,0,0,0,0
lower:volume,0.001102992,0.001102992,0.097852029,0,0,0,0,0,0
darken:color,0.001102992,0.001102992,0.095465394,0,0,0,0,0,0
raise:salary,0.001102992,0.001102992,0.065090041,0,0,0,0,0,0
flood:water,0.001102992,0.001102992,0.056411369,0,0,0,0,0,0
inflation:price,0.001102992,0.001102992,0.056411369,0,0,0,0,0,0
terror:fear,0.001102992,0.001102992,0.039054025,0,0,0,0,0,0
shorten:distance,0.001102992,0.001102992,0.039054025,0,0,0,0,0,0
speed:movement,0.001102992,0.001102992,0.039054025,0,0,0,0,0,0
soften:voice,0.001102992,0.001102992,0.030375353,0,0,0,0,0,0
heat:temperature,0.001102992,0.001102992,0.030375353,0,0,0,0,0,0
force:pressure,0.001102992,0.001102992,0.021262747,0,0,0,0,0,0
death:population,0.001102992,0.001102992,0.017357344,0,0,0,0,0,0
rise:tide,0.001102992,0.001102992,0.013018008,0,0,0,0,0,0
discount:price,0.001102992,0.001102992,0.147537427,0,0,0,0,0,0
hot:cold,0,0,0,0.114998139,0.001102992,0.001102992,0,0,0
big:small,0,0,0,0.096948269,0.001102992,0.001102992,0,0,0
dark:light,0,0,0,0.083364347,0.001102992,0.001102992,0,0,0
accept:reject,0,0,0,0.075548939,0.001102992,0.001102992,0,0,0
black:white,0,0,0,0.074618534,0.001102992,0.001102992,0,0,0
fast:slow,0,0,0,0.068105694,0.001102992,0.001102992,0,0,0
tall:short,0,0,0,0.063267585,0.001102992,0.001102992,0,0,0
good:bad,0,0,0,0.06084853,0.001102992,0.001102992,0,0,0
difficult:easy,0,0,0,0.060104205,0.001102992,0.001102992,0,0,0
rich:poor,0,0,0,0.053405285,0.001102992,0.001102992,0,0,0
fat:thin,0,0,0,0.045031634,0.001102992,0.001102992,0,0,0
pretty:ugly,0,0,0,0.038332713,0.001102992,0.001102992,0,0,0
dirty:clean,0,0,0,0.033866766,0.001102992,0.001102992,0,0,0
bright:dark,0,0,0,0.013583923,0.001102992,0.001102992,0,0,0
warm:cool,0,0,0,0.002977298,0.001102992,0.001102992,0,0,0
old:young,0,0,0,0.114998139,0.001102992,0.001102992,0,0,0
forward:backward,0,0,0,0.001102992,0.097201158,0.001102992,0,0,0
top:bottom,0,0,0,0.001102992,0.091410451,0.001102992,0,0,0
north:south,0,0,0,0.001102992,0.089342341,0.001102992,0,0,0
up:down,0,0,0,0.001102992,0.085206122,0.001102992,0,0,0
start:finish,0,0,0,0.001102992,0.063835654,0.001102992,0,0,0
in:out,0,0,0,0.001102992,0.063835654,0.001102992,0,0,0
high:low,0,0,0,0.001102992,0.050599752,0.001102992,0,0,0
below:above,0,0,0,0.001102992,0.049221012,0.001102992,0,0,0
ahead:behind,0,0,0,0.001102992,0.039569833,0.001102992,0,0,0
under:over,0,0,0,0.001102992,0.035709362,0.001102992,0,0,0
rise:sink,0,0,0,0.001102992,0.021370467,0.001102992,0,0,0
interior:exterior,0,0,0,0.001102992,0.018888736,0.001102992,0,0,0
climb:descend,0,0,0,0.001102992,0.002205984,0.001102992,0,0,0
front:back,0,0,0,0.001102992,0.097201158,0.001102992,0,0,0
left:right,0,0,0,0.001102992,0.097201158,0.001102992,0,0,0
east:west,0,0,0,0.001102992,0.097201158,0.001102992,0,0,0
day:evening,0,0,0,0.001102992,0.001102992,0.109149278,0,0,0
good:wrong,0,0,0,0.001102992,0.001102992,0.102728732,0,0,0
low:up,0,0,0,0.001102992,0.001102992,0.096308186,0,0,0
enthusiastic:lazy,0,0,0,0.001102992,0.001102992,0.083467095,0,0,0
majority:small,0,0,0,0.001102992,0.001102992,0.083467095,0,0,0
high:down,0,0,0,0.001102992,0.001102992,0.064205457,0,0,0
smiling:sad,0,0,0,0.001102992,0.001102992,0.057784912,0,0,0
witty:dumb,0,0,0,0.001102992,0.001102992,0.057784912,0,0,0
just:unfair,0,0,0,0.001102992,0.001102992,0.056500803,0,0,0
powerful:meek,0,0,0,0.001102992,0.001102992,0.051364366,0,0,0
funny:serious,0,0,0,0.001102992,0.001102992,0.032102729,0,0,0
fun:boring,0,0,0,0.001102992,0.001102992,0.032102729,0,0,0
bright:dull,0,0,0,0.001102992,0.001102992,0.025682183,0,0,0
loud:discreet,0,0,0,0.001102992,0.001102992,0.019261637,0,0,0
obey:protest,0,0,0,0.001102992,0.001102992,0.01894061,0,0,0
right:bad,0,0,0,0.001102992,0.001102992,0.109149278,0,0,0
loss:grief,0,0,0,0,0,0,0.113890584,0.001102992,0.001102992
injury:pain,0,0,0,0,0,0,0.0976205,0.001102992,0.001102992
disease:sickness,0,0,0,0,0,0,0.089485459,0.001102992,0.001102992
explosion:damage,0,0,0,0,0,0,0.085417938,0.001102992,0.001102992
accident:damage,0,0,0,0,0,0,0.083790929,0.001102992,0.001102992
germs:sickness,0,0,0,0,0,0,0.070164735,0.001102992,0.001102992
bath:cleanliness,0,0,0,0,0,0,0.061012813,0.001102992,0.001102992
exercise:fitness,0,0,0,0,0,0,0.052877771,0.001102992,0.001102992
tragedy:tears,0,0,0,0,0,0,0.044742729,0.001102992,0.001102992
fire:burns,0,0,0,0,0,0,0.040675208,0.001102992,0.001102992
repetition:boredom,0,0,0,0,0,0,0.036607688,0.001102992,0.001102992
stimulus:response,0,0,0,0,0,0,0.032540167,0.001102992,0.001102992
workout:sweat,0,0,0,0,0,0,0.028472646,0.001102992,0.001102992
illness:discomfort,0,0,0,0,0,0,0.024405125,0.001102992,0.001102992
heater:warmth,0,0,0,0,0,0,0.024405125,0.001102992,0.001102992
joke:laughter,0,0,0,0,0,0,0.113890584,0.001102992,0.001102992
thirst:drink,0,0,0,0,0,0,0.001102992,0.13646702,0.001102992
tiredness:rest,0,0,0,0,0,0,0.001102992,0.090978014,0.001102992
happiness:smile,0,0,0,0,0,0,0.001102992,0.084912813,0.001102992
thirsty:drink,0,0,0,0,0,0,0.001102992,0.081880212,0.001102992
sadness:cry,0,0,0,0,0,0,0.001102992,0.074298711,0.001102992
heat:sweat,0,0,0,0,0,0,0.001102992,0.057619409,0.001102992
coldness:shiver,0,0,0,0,0,0,0.001102992,0.057619409,0.001102992
danger:flee,0,0,0,0,0,0,0.001102992,0.057619409,0.001102992
fright:scream,0,0,0,0,0,0,0.001102992,0.047611827,0.001102992
dirtiness:bathe,0,0,0,0,0,0,0.001102992,0.042456406,0.001102992
anger:yell,0,0,0,0,0,0,0.001102992,0.039423806,0.001102992
sickness:medicate,0,0,0,0,0,0,0.001102992,0.036391205,0.001102992
loneliness:socialize,0,0,0,0,0,0,0.001102992,0.029112964,0.001102992
nervousness:sweat,0,0,0,0,0,0,0.001102992,0.018195603,0.001102992
dirty:bathe,0,0,0,0,0,0,0.001102992,0.008946171,0.001102992
hunger:eat,0,0,0,0,0,0,0.001102992,0.13646702,0.001102992
breathe:live,0,0,0,0,0,0,0.001102992,0.001102992,0.123089983
study:learn,0,0,0,0,0,0,0.001102992,0.001102992,0.106112054
drink:hydrate,0,0,0,0,0,0,0.001102992,0.001102992,0.093378608
wash:clean,0,0,0,0,0,0,0.001102992,0.001102992,0.070670628
work:earn,0,0,0,0,0,0,0.001102992,0.001102992,0.05942275
sleep:rest,0,0,0,0,0,0,0.001102992,0.001102992,0.055178268
bathe:clean,0,0,0,0,0,0,0.001102992,0.001102992,0.055178268
exercise:healthy,0,0,0,0,0,0,0.001102992,0.001102992,0.054117148
trim:shorten,0,0,0,0,0,0,0.001102992,0.001102992,0.046689304
ignite:burn,0,0,0,0,0,0,0.001102992,0.001102992,0.042444822
read:learn,0,0,0,0,0,0,0.001102992,0.001102992,0.042444822
cook:eat,0,0,0,0,0,0,0.001102992,0.001102992,0.03820034
advertise:promote,0,0,0,0,0,0,0.001102992,0.001102992,0.033319185
burnish:shine,0,0,0,0,0,0,0.001102992,0.001102992,0.029711375
speak:express,0,0,0,0,0,0,0.001102992,0.001102992,0.026952462
flee:escape,0,0,0,0,0,0,0.001102992,0.001102992,0.123089983
