humanratings,mainrel,rstpostprob79,rstpostprob9,subrel,wordpair
"[0.         0.         0.         0.09694827 0.00110299 0.00110299
 0.         0.         0.        ]",2,"[0.10080116 0.11740876 0.11352933 0.55605218 0.24192071 0.39214349
 0.47790064 0.69969552 0.66510895 0.51396249 0.14211669 0.60196209
 0.17560826 0.02107458 0.08022205 0.87562092 0.73224495 0.5323559
 0.47052687 0.49845004 0.67200668 0.80641542 0.21135175 0.81862275
 0.87620053 0.64233523 0.78050015 0.56542453 0.43254214 0.81580022
 0.01912807 0.22549689 0.14545918 0.09710686 0.06714273 0.11338698
 0.29491713 0.40512338 0.57957604 0.68719249 0.14080145 0.46573171
 0.02334643 0.64991454 0.00942085 0.23324311 0.15618831 0.61462576
 0.13990026 0.60391244 0.22766722 0.21323434 0.07283039 0.11023358
 0.08631113 0.06692349 0.0651696  0.25813495 0.00724746 0.1347576
 0.05475259 0.15232918 0.1449805  0.00836325 0.05656767 0.01973273
 0.06295758 0.14038041 0.06132143 0.09519625 0.04924617 0.58544879
 0.20494873 0.0715476  0.42257838 0.63080973 0.29711614 0.05197262
 0.35990256]","[0.87562092 0.67200668 0.21135175 0.87620053 0.78050015 0.81580022
 0.0651696  0.25813495 0.1347576 ]",4,big:small
"[0.         0.         0.         0.07461853 0.00110299 0.00110299
 0.         0.         0.        ]",2,"[6.69195974e-01 3.82493962e-01 6.02727346e-01 5.30397751e-01
 3.00586027e-01 2.97952118e-01 3.51491584e-01 4.33661503e-01
 1.77935694e-01 2.72506212e-01 1.81046623e-01 3.59622945e-01
 4.04933265e-01 1.28588815e-01 1.03188447e-01 7.99413688e-01
 8.08366202e-01 3.74114235e-01 2.00347894e-01 5.63005710e-01
 4.64109449e-01 7.62696385e-01 4.77503334e-01 7.83366807e-01
 8.45181049e-01 4.44764431e-01 7.26220646e-01 4.41577030e-01
 1.96150775e-01 6.90517416e-01 6.90011698e-02 9.17024588e-02
 2.82377642e-01 2.80638076e-02 2.33534594e-01 1.26595525e-01
 2.52054108e-01 1.92603211e-02 3.66267174e-01 5.59680236e-01
 3.26940331e-02 1.30711916e-01 2.99204329e-04 6.87871454e-01
 3.34554228e-04 4.22518206e-02 7.05167678e-02 6.94661167e-01
 1.16286123e-01 1.81755609e-01 7.52375373e-02 2.68872586e-01
 2.49561482e-03 1.05735525e-01 1.69312720e-02 6.46305052e-02
 1.74222463e-02 8.21823222e-02 5.62721442e-02 4.47255758e-02
 5.63780677e-02 1.90485920e-01 2.15156440e-01 1.03831124e-02
 5.30167356e-02 9.94491068e-02 4.71171865e-02 1.29493335e-02
 1.10204024e-04 2.96586355e-01 2.18462748e-02 5.74708566e-01
 6.77962378e-02 2.69815887e-02 2.40014431e-02 1.61401117e-01
 3.32443208e-01 1.22706300e-01 1.66124702e-01]","[0.79941369 0.46410945 0.47750333 0.84518105 0.72622065 0.69051742
 0.01742225 0.08218232 0.04472558]",4,black:white
"[0.0336717  0.00110299 0.00110299 0.         0.         0.
 0.         0.         0.        ]",1,"[0.37096575 0.09596408 0.36015398 0.21879665 0.4469685  0.53634638
 0.10459556 0.24615894 0.47855626 0.22189322 0.63346933 0.52171149
 0.35318544 0.14256903 0.28814851 0.83820927 0.69485858 0.3520179
 0.09991854 0.42687873 0.66061955 0.71562575 0.25894262 0.59963088
 0.65403114 0.540339   0.64904601 0.60859562 0.37445235 0.62003618
 0.48789374 0.18795545 0.16992798 0.13051044 0.25594507 0.41012777
 0.58255555 0.02999225 0.33073901 0.46212555 0.29160381 0.41468833
 0.03828344 0.39496929 0.32090483 0.2608018  0.20464573 0.35111251
 0.18276921 0.34620613 0.12388461 0.18826104 0.08902454 0.28856214
 0.30300871 0.46599638 0.09078883 0.30049858 0.17826331 0.14794309
 0.12788766 0.1229056  0.44462388 0.14504503 0.0163542  0.25814775
 0.16699329 0.26074023 0.43302368 0.21664322 0.06686769 0.34474612
 0.41725275 0.45197583 0.11851121 0.40691192 0.24053683 0.10173193
 0.34773852]","[0.83820927 0.66061955 0.25894262 0.65403114 0.64904601 0.62003618
 0.09078883 0.30049858 0.14794309]",1,boat:ship
"[0.00110299 0.06466395 0.00110299 0.         0.         0.
 0.         0.         0.        ]",1,"[0.4597919  0.35550096 0.54890917 0.23479724 0.19364478 0.70538001
 0.34186613 0.66525633 0.21071069 0.12697844 0.31537442 0.41398098
 0.09052128 0.55904175 0.07645316 0.43977292 0.23925433 0.54666786
 0.57914149 0.23055979 0.80817559 0.81566371 0.17740577 0.26194735
 0.55397712 0.62200562 0.47339948 0.55117376 0.31705241 0.57082662
 0.40111554 0.02601704 0.44486523 0.10437015 0.03762383 0.04581755
 0.02277436 0.14019544 0.02856995 0.30356861 0.71295805 0.35880773
 0.50530291 0.38915777 0.10644593 0.21099611 0.1192121  0.13753463
 0.06473948 0.26346165 0.1453554  0.27373427 0.14469538 0.21868244
 0.01141912 0.21083256 0.39946898 0.11527721 0.28416293 0.22564871
 0.18839208 0.1283505  0.10500926 0.10992861 0.25836095 0.10275151
 0.28016593 0.30476638 0.51426065 0.08649136 0.56444678 0.0936743
 0.36240599 0.54158232 0.0488811  0.07904215 0.52003034 0.69372908
 0.65432579]","[0.43977292 0.80817559 0.17740577 0.55397712 0.47339948 0.57082662
 0.39946898 0.11527721 0.22564871]",2,book:magazine
"[0.         0.         0.         0.         0.         0.
 0.00110299 0.00110299 0.12308998]",3,"[1.08626461e-01 5.91648526e-02 8.40093707e-02 1.03323934e-01
 7.40069706e-02 7.38740041e-04 1.17121206e-01 1.25621355e-01
 2.42835760e-02 8.64757389e-02 1.10892067e-02 2.15371469e-03
 9.73008939e-02 6.72515359e-03 6.80678467e-02 1.00882378e-01
 7.64302657e-02 1.81712119e-01 1.58966622e-01 1.12512237e-01
 2.02818691e-02 7.00561499e-02 7.38323982e-02 4.57523809e-02
 3.57110641e-02 1.01994093e-01 8.97791996e-02 9.56077292e-02
 6.70996913e-02 5.75035283e-02 8.20410432e-02 1.28240069e-02
 6.85472005e-02 3.38646594e-02 5.29146191e-02 3.06125589e-03
 2.26921893e-03 2.02487650e-01 1.98556972e-01 2.68852362e-02
 6.69240099e-02 7.56271277e-02 1.13340498e-01 2.91833471e-02
 4.85684528e-02 5.69581159e-02 6.74455114e-02 1.24698226e-01
 4.92416109e-03 5.11994965e-02 1.08675185e-02 1.36606212e-01
 1.39451768e-01 2.43563922e-02 6.20325767e-03 1.40715156e-02
 1.30183201e-01 2.14269433e-01 5.22124939e-01 8.72786787e-01
 1.80814412e-01 3.94789534e-01 6.46720517e-02 3.99389058e-01
 4.15708711e-02 6.59201852e-02 6.37968779e-02 6.44678746e-04
 7.94288496e-02 2.99231406e-02 2.10007478e-02 4.44882602e-02
 1.22111710e-03 2.00655537e-01 1.68180949e-01 2.80750800e-02
 9.77649842e-02 1.19100210e-01 6.16777636e-02]","[0.10088238 0.02028187 0.0738324  0.03571106 0.0897792  0.05750353
 0.1301832  0.21426943 0.87278679]",9,breathe:live
"[0.         0.         0.         0.01358392 0.00110299 0.00110299
 0.         0.         0.        ]",2,"[0.22976563 0.0609547  0.11861641 0.08786601 0.20320387 0.22322839
 0.02483517 0.06837306 0.09486222 0.05714708 0.0297451  0.07205113
 0.1919412  0.03428196 0.04060438 0.4516408  0.62110263 0.4711416
 0.19640091 0.62728417 0.55239232 0.42062485 0.16058091 0.74713957
 0.85661019 0.4976687  0.74057806 0.64924371 0.39037689 0.75863927
 0.11424174 0.02659103 0.62525425 0.10792923 0.14590545 0.10478257
 0.46741206 0.01467165 0.03855208 0.00435375 0.25234788 0.4288795
 0.02337002 0.45678722 0.06869304 0.15420572 0.09465044 0.61395797
 0.03995984 0.32080032 0.01960751 0.06452075 0.10968973 0.08399627
 0.25109363 0.01006187 0.0117745  0.02332182 0.04107027 0.12127658
 0.08315204 0.18524812 0.1666242  0.1801782  0.04538683 0.03798553
 0.145397   0.0193862  0.02332109 0.22847193 0.06198456 0.1586751
 0.19364017 0.35126168 0.50389436 0.5017465  0.31787019 0.19136153
 0.00356446]","[0.4516408  0.55239232 0.16058091 0.85661019 0.74057806 0.75863927
 0.0117745  0.02332182 0.12127658]",4,bright:dark
"[0.         0.         0.         0.00110299 0.00110299 0.02568218
 0.         0.         0.        ]",2,"[7.06773175e-02 1.44367905e-03 1.32159036e-01 2.08022677e-01
 1.95626831e-01 1.80099857e-01 7.58098149e-02 2.08492316e-01
 1.25759283e-01 3.14302564e-01 3.31723183e-02 4.15322618e-01
 5.57695851e-02 1.46916466e-01 7.05417859e-02 7.33371281e-01
 7.56980063e-01 6.57448348e-01 5.80621399e-01 5.86866605e-01
 7.18652398e-01 6.67856544e-01 8.76608441e-02 7.09905479e-01
 8.32519683e-01 7.62150987e-01 7.81175278e-01 7.81376216e-01
 5.50923902e-01 8.72333366e-01 7.82619653e-02 2.94330571e-01
 5.89954397e-01 4.01550008e-02 1.50374325e-01 8.66738227e-02
 5.21253847e-01 2.85686249e-01 3.23095680e-01 3.81111991e-04
 4.30338861e-01 6.32072478e-01 3.94123400e-01 3.25766733e-01
 2.88700698e-01 3.41186273e-01 2.26675881e-01 5.07744891e-01
 2.76602063e-02 2.81868085e-01 2.38060095e-02 2.85833179e-01
 5.73517493e-02 2.95226854e-01 4.75329281e-01 6.39341831e-02
 3.45903378e-01 2.00531090e-02 4.18976719e-01 4.10065639e-01
 2.95925782e-01 2.04669954e-01 2.01816130e-01 2.71011715e-01
 3.20468611e-01 1.14271059e-01 1.29306597e-01 2.63817586e-01
 3.81318539e-01 5.52500168e-01 1.78232818e-01 4.88935390e-01
 6.46835168e-01 5.07386774e-01 4.69811523e-01 5.58721520e-01
 5.76370579e-01 5.14870744e-02 1.16085809e-01]","[0.73337128 0.7186524  0.08766084 0.83251968 0.78117528 0.87233337
 0.34590338 0.02005311 0.41006564]",6,bright:dull
"[0.         0.         0.         0.         0.         0.
 0.00110299 0.00110299 0.02971138]",3,"[0.15611937 0.09657857 0.18512561 0.2163626  0.3333605  0.31016101
 0.36150946 0.6030734  0.41634139 0.193094   0.40076086 0.64066521
 0.25579679 0.47131982 0.57502896 0.41939248 0.30810665 0.04318024
 0.58995193 0.1129271  0.49256613 0.22470851 0.60703197 0.26545493
 0.59023588 0.16752922 0.50963276 0.45914075 0.57593348 0.44331944
 0.47573288 0.59582596 0.21120191 0.37207691 0.23054764 0.66028459
 0.41576774 0.26906512 0.21528402 0.59516344 0.36453378 0.60775946
 0.69556708 0.54883765 0.56338015 0.44344325 0.21414562 0.60077118
 0.44544177 0.2216472  0.04207104 0.42351497 0.29143767 0.21093639
 0.58895147 0.1595385  0.34540774 0.44332298 0.51081194 0.8358658
 0.58087522 0.68251369 0.34187325 0.41329679 0.08427893 0.3058079
 0.05930397 0.36190426 0.52943397 0.49162293 0.20763157 0.44302989
 0.07076402 0.1845568  0.02725011 0.63735514 0.21912796 0.35099505
 0.51895884]","[0.41939248 0.49256613 0.60703197 0.59023588 0.50963276 0.44331944
 0.34540774 0.44332298 0.8358658 ]",9,burnish:shine
"[0.08838822 0.00110299 0.00110299 0.         0.         0.
 0.         0.         0.        ]",1,"[0.25463154 0.00525596 0.12627121 0.29363272 0.56094499 0.72681417
 0.34665614 0.20699446 0.35353237 0.49376452 0.5762641  0.48147002
 0.10605597 0.08772563 0.1859383  0.4159276  0.35721982 0.2284934
 0.40363658 0.15918724 0.64954796 0.31146759 0.12438629 0.44025841
 0.57660466 0.17067431 0.14391824 0.45263072 0.22188291 0.32386485
 0.29337916 0.09944341 0.23136473 0.33818189 0.26934185 0.21028698
 0.15597541 0.24213219 0.12691806 0.47613047 0.38428109 0.19383397
 0.00270382 0.20874127 0.24926234 0.06664322 0.06081946 0.16958405
 0.08502408 0.2461674  0.23774893 0.25846683 0.09004535 0.09056585
 0.47535189 0.25027687 0.10731654 0.21755488 0.03058576 0.51089255
 0.33210234 0.33997934 0.55191756 0.04025214 0.17360725 0.16269488
 0.35407903 0.26736318 0.26031151 0.04043539 0.07515904 0.08253701
 0.05465611 0.13773086 0.45425791 0.06640911 0.07980794 0.01320016
 0.52383174]","[0.4159276  0.64954796 0.12438629 0.57660466 0.14391824 0.32386485
 0.10731654 0.21755488 0.51089255]",1,car:auto
"[0.05966824 0.00110299 0.00110299 0.         0.         0.
 0.         0.         0.        ]",1,"[0.46592501 0.57902733 0.51084353 0.48320223 0.45574271 0.4997734
 0.20067189 0.18311972 0.14539334 0.37714512 0.47867584 0.21427008
 0.5587357  0.08703338 0.1037118  0.81847112 0.4380771  0.42205852
 0.03475107 0.31737209 0.51641888 0.39722553 0.06458048 0.67160165
 0.67139814 0.63659994 0.51895073 0.69027662 0.54888762 0.57394223
 0.03414508 0.60323688 0.0678568  0.33717967 0.46217444 0.16186366
 0.20166721 0.32758214 0.30484876 0.58232911 0.52305676 0.30152946
 0.00638467 0.46170343 0.01809737 0.0744045  0.28398295 0.60787392
 0.02092904 0.07278839 0.04353543 0.30477531 0.14360124 0.17689068
 0.38715183 0.14461024 0.0834874  0.07092441 0.02268376 0.16662353
 0.31998782 0.37321731 0.38670352 0.25706065 0.14561682 0.13502249
 0.09816313 0.34051322 0.24796488 0.08821647 0.05749807 0.3003371
 0.24858534 0.22375492 0.23810002 0.37961524 0.20830682 0.23385194
 0.13734548]","[0.81847112 0.51641888 0.06458048 0.67139814 0.51895073 0.57394223
 0.0834874  0.07092441 0.16662353]",1,careful:cautious
"[0.00110299 0.00789206 0.00110299 0.         0.         0.
 0.         0.         0.        ]",1,"[0.29999501 0.1632992  0.27124488 0.24105261 0.11202609 0.02146909
 0.0650127  0.18946706 0.0632928  0.2423984  0.66147112 0.06933476
 0.50593019 0.14298311 0.4965194  0.53701551 0.43739669 0.28860344
 0.01409643 0.0300256  0.82204853 0.48019048 0.20643348 0.32851152
 0.35612867 0.50730928 0.46145428 0.360238   0.249276   0.49860383
 0.09153979 0.5672203  0.5132863  0.12527552 0.08551644 0.09319057
 0.04069055 0.06938093 0.2648946  0.41407787 0.12957172 0.09803824
 0.0959028  0.42471654 0.23512795 0.23561676 0.07619179 0.44351568
 0.32905521 0.33138286 0.18313362 0.20124077 0.50602711 0.44626789
 0.22357326 0.16951898 0.43363918 0.27682904 0.57373607 0.04627066
 0.06328187 0.13838384 0.32902452 0.15139899 0.11252294 0.47749514
 0.45783294 0.15105086 0.32130247 0.05310786 0.06993782 0.51400032
 0.43298878 0.45285602 0.09253046 0.43288556 0.15828778 0.4928169
 0.22095675]","[0.53701551 0.82204853 0.20643348 0.35612867 0.46145428 0.49860383
 0.43363918 0.27682904 0.04627066]",2,chair:sofa
