Trial,Group Acc
read:learn::just:unfair,1.0
read:learn::sleep:rest,0.875
repetition:boredom::below:above,1.0
repetition:boredom::good:wrong,0.875
rich:poor::fast:slow,0.75
rich:poor::stimulus:response,0.8125
right:bad::advertise:promote,0.8125
right:bad::obey:protest,0.625
rise:sink::shovel:spoon,1.0
rise:sink::under:over,0.75
rise:tide::dirty:clean,1.0
rise:tide::left:right,0.8125
run:sprint::study:learn,0.4375
run:sprint::under:over,1.0
sadness:cry::hot:cold,1.0
sadness:cry::table:desk,0.625
shorten:distance::fast:slow,0.9375
shorten:distance::force:pressure,0.25
shovel:spoon::black:white,1.0
shovel:spoon::tiredness:rest,0.9375
sickness:medicate::danger:flee,0.9375
sickness:medicate::raise:elevate,0.6875
sleep:rest::advertise:promote,0.8125
sleep:rest::bright:dark,0.875
smiling:sad::high:down,0.5625
smiling:sad::illness:discomfort,1.0
soften:voice::darken:color,0.75
soften:voice::thirst:drink,0.875
speak:express::flee:escape,0.9375
speak:express::ignite:burn,1.0
speed:movement::fat:thin,0.9375
speed:movement::raise:salary,0.5625
spin:twirl::bright:dull,1.0
spin:twirl::house:home,0.9375
stairs:ladder::big:small,0.9375
stairs:ladder::sickness:medicate,0.9375
start:finish::forward:backward,0.625
start:finish::top:bottom,0.875
stimulus:response::joke:laughter,0.9375
stimulus:response::workout:sweat,1.0
study:learn::old:young,1.0
study:learn::warm:cool,1.0
sword:knife::accident:damage,0.6875
sword:knife::workout:sweat,0.8125
table:desk::powerful:meek,0.9375
table:desk::wagon:trailer,0.75
tall:short::black:white,1.0
tall:short::repetition:boredom,1.0
teach:instruct::germs:sickness,0.875
teach:instruct::up:down,0.9375
terror:fear::dim:light,0.0625
terror:fear::rise:tide,0.25
thirst:drink::funny:serious,0.8125
thirst:drink::happiness:smile,0.8125
thirsty:drink::anger:yell,1.0
thirsty:drink::fence:hedge,0.9375
tiredness:rest::big:large,0.75
tiredness:rest::dark:light,0.6875
top:bottom::pants:trousers,1.0
top:bottom::teach:instruct,0.9375
tragedy:tears::exercise:fitness,0.9375
tragedy:tears::rich:poor,0.875
trim:shorten::high:low,0.9375
trim:shorten::study:learn,0.6875
under:over::drink:hydrate,0.9375
under:over::sleep:rest,0.9375
up:down::fire:burns,1.0
up:down::high:low,1.0
wagon:trailer::picture:drawing,0.8125
wagon:trailer::stairs:ladder,0.75
warm:cool::hot:cold,0.9375
warm:cool::read:learn,1.0
wash:clean::careful:cautious,0.25
wash:clean::cook:eat,0.875
witty:dumb::loss:grief,0.75
witty:dumb::low:up,0.6875
work:earn::speak:express,0.875
work:earn::stairs:ladder,0.875
workout:sweat::disease:sickness,0.4375
workout:sweat::tragedy:tears,1.0
